Sr No,Name,Symbol,Date,Day,DDay,Month,Year,High,Low,Open,Close,Volume,Marketcap
2702,Tether,USDT,5/28/2018,28,28-May,May,2018,1.010730028,0.987478018,1.000570059,1.002490044,2582710016,2513383594
2703,Tether,USDT,5/29/2018,29,29-May,May,2018,1.009809971,0.985790014,0.999270022,1.00067997,3003919872,2508845669
2704,Tether,USDT,5/30/2018,30,30-May,May,2018,1.009819984,0.995158017,0.999486983,0.999727011,2429060096,2506456364
2705,Tether,USDT,5/31/2018,31,31-May,May,2018,1.007480025,0.994691014,1.001999974,0.998003006,2613339904,2502134053
2706,Tether,USDT,6/1/2018,1,1-Jun,Jun,2018,1.008649945,0.994693995,0.999087989,1.000990033,2486080000,2509622883
2707,Tether,USDT,6/2/2018,2,2-Jun,Jun,2018,1.00564003,0.986231029,1.000180006,0.993529975,3187569920,2490919612
2708,Tether,USDT,6/3/2018,3,3-Jun,Jun,2018,1.00375998,0.986846983,0.992030025,1.000100017,2796300032,2507391528
2709,Tether,USDT,6/4/2018,4,4-Jun,Jun,2018,1.006800056,0.99525702,0.997713983,1.000519991,2798279936,2508444527
2710,Tether,USDT,6/5/2018,5,5-Jun,Jun,2018,1.011459947,0.990878999,0.999262989,1.001019955,2796069888,2509698097
2711,Tether,USDT,6/6/2018,6,6-Jun,Jun,2018,1.012609959,0.990876973,0.997916996,1.000689983,2508359936,2508870741
2712,Tether,USDT,6/7/2018,7,7-Jun,Jun,2018,1.005730033,0.996241987,0.999463022,0.998749971,2554540032,2504006888
2713,Tether,USDT,6/8/2018,8,8-Jun,Jun,2018,1.00838995,0.994329989,0.999939978,1.001790047,2219579904,2511628596
2714,Tether,USDT,6/9/2018,9,9-Jun,Jun,2018,1.012210011,0.999194026,1.002060056,1.006080031,2006880000,2522383759
2715,Tether,USDT,6/10/2018,10,10-Jun,Jun,2018,1.015319943,0.989031017,1.009369969,0.99821502,3845029888,2502665100
2716,Tether,USDT,6/11/2018,11,11-Jun,Jun,2018,1.010290027,0.991656005,1.005300045,1.001929998,2913220096,2511979126
2717,Tether,USDT,6/12/2018,12,12-Jun,Jun,2018,1.019090056,0.998669028,1.004040003,1.000769973,2702340096,2509070844
2718,Tether,USDT,6/13/2018,13,13-Jun,Jun,2018,1.025769949,0.994315982,1.004750013,1.003530025,3056750080,2515990551
2719,Tether,USDT,6/14/2018,14,14-Jun,Jun,2018,1.01196003,0.993035018,1.001950026,1.00395,3104209920,2517043550
2720,Tether,USDT,6/15/2018,15,15-Jun,Jun,2018,1.01315999,0.995103002,1.001629949,1.006950021,2376110080,2625259971
2721,Tether,USDT,6/16/2018,16,16-Jun,Jun,2018,1.012480021,0.987984002,1.00387001,1.004240036,1797939968,2618194621
2722,Tether,USDT,6/17/2018,17,17-Jun,Jun,2018,1.007130027,0.998453021,1.004870057,1.005480051,1548390016,2621427475
2723,Tether,USDT,6/18/2018,18,18-Jun,Jun,2018,1.011180043,0.991164029,1.003389955,1.002830029,2073910016,2614518553
2724,Tether,USDT,6/19/2018,19,19-Jun,Jun,2018,1.006340027,0.994845986,1.003630042,1.000219941,2253370112,2607713917
2725,Tether,USDT,6/20/2018,20,20-Jun,Jun,2018,1.010210037,0.994433999,1.001710057,0.998829007,2215259904,2604087384
2726,Tether,USDT,6/21/2018,21,21-Jun,Jun,2018,1.005980015,0.994075,1.000540018,1.000530005,2017639936,2608522130
2727,Tether,USDT,6/22/2018,22,22-Jun,Jun,2018,1.026370049,0.990974009,1.001240015,1.003000021,3747810048,2614961767
2728,Tether,USDT,6/23/2018,23,23-Jun,Jun,2018,1.012699962,0.990620971,1.001369953,1.001979947,2500859904,2612302484
2729,Tether,USDT,6/24/2018,24,24-Jun,Jun,2018,1.022490025,0.971736014,0.998875022,1.005100012,3952620032,2620436761
2730,Tether,USDT,6/25/2018,25,25-Jun,Jun,2018,1.008909941,0.984718978,1.004870057,1.000620008,3956019968,2708818773
2731,Tether,USDT,6/26/2018,26,26-Jun,Jun,2018,1.009639978,0.990512013,0.998834014,1.000560045,2025110016,2708656344
2732,Tether,USDT,6/27/2018,27,27-Jun,Jun,2018,1.00620997,0.981483996,1.002390027,0.997934997,2055360000,2701550101
2733,Tether,USDT,6/28/2018,28,28-Jun,Jun,2018,1.004400015,0.989789009,0.998822987,0.997192979,2331049984,2699541403
2734,Tether,USDT,6/29/2018,29,29-Jun,Jun,2018,1.011700034,0.990261018,0.99604702,1.003329992,2482319872,2716155123
2735,Tether,USDT,6/30/2018,30,30-Jun,Jun,2018,1.010139942,0.99268198,1.003010035,0.999191999,2540620032,2704952976
2736,Tether,USDT,7/1/2018,1,1-Jul,Jul,2018,1.006049991,0.997016013,0.997322977,0.99882102,3653040128,2703948627
2737,Tether,USDT,7/2/2018,2,2-Jul,Jul,2018,1.002740026,0.993192971,0.999401987,0.998858988,2787729920,2704051498
2738,Tether,USDT,7/3/2018,3,3-Jul,Jul,2018,1.003679991,0.995343029,0.997444987,1.000319958,2786769920,2708006631
2739,Tether,USDT,7/4/2018,4,4-Jul,Jul,2018,1.003739953,0.993436992,0.998857021,0.99919498,2638139904,2704961098
2740,Tether,USDT,7/5/2018,5,5-Jul,Jul,2018,1.011129975,0.999481976,1.001170039,1.006139994,3606159872,2723762187
2741,Tether,USDT,7/6/2018,6,6-Jul,Jul,2018,1.011240005,0.998691976,1.007009983,1.00316,2460250112,2615378909
2742,Tether,USDT,7/7/2018,7,7-Jul,Jul,2018,1.007879972,0.989027977,1.001700044,1.00620997,2134790016,2623330687
2743,Tether,USDT,7/8/2018,8,8-Jul,Jul,2018,1.00951004,1.001270056,1.004609942,1.00425005,2142080000,2618220692
2744,Tether,USDT,7/9/2018,9,9-Jul,Jul,2018,1.014179945,1.001420021,1.004600048,1.007500052,2358560000,2626693898
2745,Tether,USDT,7/10/2018,10,10-Jul,Jul,2018,1.011600018,0.997819006,1.007310033,1.001199961,2974149888,2610268914
2746,Tether,USDT,7/11/2018,11,11-Jul,Jul,2018,1.01078999,0.998898029,1.000910044,1.001160026,2524790016,2610164628
2747,Tether,USDT,7/12/2018,12,12-Jul,Jul,2018,1.007609963,0.99446702,1.002279997,0.999069989,2404160000,2704622705
2748,Tether,USDT,7/13/2018,13,13-Jul,Jul,2018,1.010030031,0.995791018,0.999377012,1.001420021,2279970048,2710984485
2749,Tether,USDT,7/14/2018,14,14-Jul,Jul,2018,1.006800056,0.99803102,1.002249956,1.002650023,1620770048,2714314268
2750,Tether,USDT,7/15/2018,15,15-Jul,Jul,2018,1.004410028,0.996663988,1.002380013,0.998351991,1919559936,2702678978
2751,Tether,USDT,7/16/2018,16,16-Jul,Jul,2018,1.00217998,0.988296986,0.998965979,0.999139011,2864659968,2704809498
2752,Tether,USDT,7/17/2018,17,17-Jul,Jul,2018,1.005839944,0.979781985,1.002310038,1.000130057,3620499968,2707492274
2753,Tether,USDT,7/18/2018,18,18-Jul,Jul,2018,1.005319953,0.993403971,0.999476016,1.002210021,4082030080,2713123126
2754,Tether,USDT,7/19/2018,19,19-Jul,Jul,2018,1.004169941,0.993331015,1.000810027,0.998088002,3188349952,2701964293
2755,Tether,USDT,7/20/2018,20,20-Jul,Jul,2018,1.007169962,0.994279027,0.998920977,1.001029968,3072349952,2659877200
2756,Tether,USDT,7/21/2018,21,21-Jul,Jul,2018,1.004220009,0.995730996,1.001299977,1.000040054,2164900096,2657246631
2757,Tether,USDT,7/22/2018,22,22-Jul,Jul,2018,1.010619998,0.994755983,1.001219988,0.999843001,2209939968,2656723175
2758,Tether,USDT,7/23/2018,23,23-Jul,Jul,2018,1.000830054,0.991952002,1.000830054,0.997496009,2808819968,2600612066
2759,Tether,USDT,7/24/2018,24,24-Jul,Jul,2018,1.000730038,0.993390024,0.99791801,0.996505022,4417310208,2498377890
2760,Tether,USDT,7/25/2018,25,25-Jul,Jul,2018,1.00206995,0.985008001,0.992371976,0.998790979,3514560000,2504109213
2761,Tether,USDT,7/26/2018,26,26-Jul,Jul,2018,1.003749967,0.992866993,0.996739984,0.997950971,2894500096,2502003215
2762,Tether,USDT,7/27/2018,27,27-Jul,Jul,2018,1.004390001,0.991178989,0.999553025,0.997117996,3092310016,2499914767
2763,Tether,USDT,7/28/2018,28,28-Jul,Jul,2018,1.002689958,0.995606005,0.995606005,0.997887015,2298899968,2501842758
2764,Tether,USDT,7/29/2018,29,29-Jul,Jul,2018,1.001610041,0.995105028,0.996402979,0.99891901,2404489984,2504430127
